fiscal_year,agency,total_revenue,federal_revenue,federal_dependency_pct
2025,COTTON RESEARCH AND PROTECTION COUNCIL,4122062.0400,598094.8800,14.509604033033913
2025,ARIZONA STATE RETIREMENT SYSTEM (ASRS),85510179.1500,,
2025,OFFICE OF EQUAL OPPORTUNITY,311700.0000,,
2018,LEGISLATIVE COUNCIL,1322.0800,,
2018,OCCUPATIONAL SAFETY AND HEALTH,3404.0500,,
2017,SENATE,20.0000,,
2019,RESIDENTIAL UTILITY CONSUMER OFFICE,1342287.1900,,
2016,DEPT OF ADMINISTRATION,1139498094.6100,2195998.2900,0.19271627573467717
2016,BOARD OF OSTEOPATHIC EXAMINERS,1079399.5800,,
2017,DEPT OF CHILD SAFETY,568359861.7500,484755453.5300,85.2902335568562
2017,DEPT OF EDUCATION,2061881469.0100,1135100764.5200,55.0516982465055
2017,DEPT OF ENVIRONMENTAL QUALITY,122298231.6700,14662736.1000,11.989327972921785
2017,ATTORNEY GENERAL (DEPT OF LAW),108240170.9900,4198987.9300,3.8793249230804823
2017,CORPORATION COMMISSION,79521986.0900,1167760.0000,1.4684743898100998
2017,MINE INSPECTOR,804313.7200,671328.9400,83.46605600610667
2017,PERSONNEL BOARD,488627.4300,,
2017,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,139987463.5800,79762.4800,0.056978302170906436
2017,BOARD OF OPTOMETRY,286959.1000,,
2017,BOARD OF DISPENSING OPTICIANS,176070.0000,,
2017,DEPT OF HOMELAND SECURITY,22412591.7700,22412591.7700,100.0
2017,EXPOSITION AND STATE FAIR BOARD,13070169.0400,,
2017,BOARD OF OCCUPATIONAL EXAMINERS,232406.0000,,
2018,DEPT OF REVENUE,9176206700.8200,,
2018,MEDICAL BOARD,7930233.6800,,
2018,OFFICE OF ECONOMIC OPPORTUNITY,11810343.0700,2150877.0800,18.21180864308288
2018,AUTOMOBILE THEFT AUTHORITY,6338451.9100,,
2019,PARKS BOARD,38173810.3800,1159320.4900,3.036952503456114
2019,DEPT OF PUBLIC SAFETY,547835905.2900,56552544.1900,10.322898452605731
2019,BOARD OF COSMETOLOGY,2555839.5000,,
2019,REGISTRAR OF CONTRACTORS,15619870.9800,,
2019,SUPREME COURT,88358598.8200,1109352.2200,1.255511330889165
2019,DEPT OF INSURANCE,568254638.4800,215453.7500,0.03791500067228804
2019,DEPT OF HOUSING,114543432.4000,84158734.5100,73.4732081505181
2019,DEPT OF ECONOMIC SECURITY,2519299869.5700,2328983504.1000,92.44566445746358
2019,BOARD OF PHARMACY,7129164.3300,-632356.8500,-8.869999634304964
2019,DEPT OF EMERGENCY AND MILITARY AFFAIRS,62339169.0300,45050203.7600,72.26628853252778
2019,DEPT OF LIQUOR LICENSES AND CONTROL,9830578.8200,,
2019,BOARD OF PODIATRY EXAMINERS,170248.3400,,
2019,BOARD OF BEHAVIORAL HEALTH EXAMINERS,2237304.3400,,
2019,ARIZONA STATE UNIVERSITY,12374166.0000,,
2019,BOARD OF CHIROPRACTIC EXAMINERS,533822.3300,,
2019,ARIZONA COMMERCE AUTHORITY,26786842.6900,,
2020,INDUSTRIAL COMMISSION,25234075.5300,2752533.2900,10.908001312461792
2020,BOARD OF ATHLETIC TRAINING,172478.8900,,
2020,CONSTABLE ETHICS STANDARDS AND TRAINING BOARD,431133.6800,,
2020,BOARD OF PSYCHOLOGIST EXAMINERS,793681.4500,,
2021,STATE TREASURER,332007669.5900,0.0000,0.0
2021,UNIVERSITY OF ARIZONA,60394885.6400,,
2023,DEPT OF WATER RESOURCES,40170581.5000,715635.5100,1.781491537532261
2023,BOARD OF NURSING,9019735.6100,,
2023,CITIZENS CLEAN ELECTION COMMISSION,6022869.0600,,
2023,ARIZONA HISTORICAL SOCIETY,1190735.8100,,
2024,DEPT OF TRANSPORTATION,5378385533.3700,1115531160.6700,20.741004038269978
2024,SECRETARY OF STATE (DEPT OF STATE),12470935.1600,6690615.8100,53.64967201064334
2024,DEPT OF AGRICULTURE,33719749.7200,5370425.9500,15.926648313212926
2024,BOARD FOR PRIVATE POSTSECONDARY EDU,929845.0300,,
2024,DEPT OF GAMING,215291424.7100,,
2024,BOARD OF EXAM NURSING CARE,442349.9100,,
2025,DEPT OF ADMINISTRATION,1872833171.8400,1544127.9000,0.08244876923463197
2025,BOARD OF OSTEOPATHIC EXAMINERS,1840824.1200,,
2018,BOARD OF EQUALIZATION,1077.8400,,
2020,RESIDENTIAL UTILITY CONSUMER OFFICE,1342513.6900,,
2020,BOARD OF OCCUPATIONAL THERAPY EXAMINERS,29783.0000,,
2023,BOARD OF BARBERS,11857.4000,,
2024,BOARD OF EDUCATION,21.2500,,
2016,NAVIGABLE STREAM ADJUDICATION COMMISSION,200000.0000,,
2025,NAVIGABLE STREAM ADJUDICATION COMMISSION,26549.4300,,
2016,DEPT OF INSURANCE,529652390.0900,333837.3500,0.06302951827391423
2016,BOARD OF PHARMACY,4241220.6300,4800.0000,0.11317496585882636
2016,BOARD OF PODIATRY EXAMINERS,166581.6000,,
2016,DEPT OF PUBLIC SAFETY,452429540.8600,19791010.9800,4.374385223029488
2016,DEPT OF LIQUOR LICENSES AND CONTROL,8108738.7500,,
2016,REGISTRAR OF CONTRACTORS,13434870.7000,,
2016,DEPT OF EMERGENCY AND MILITARY AFFAIRS,60318775.7000,49558520.4300,82.16101844719637
2016,DEPT OF ECONOMIC SECURITY,1914593256.2000,1816924068.1000,94.8986977895321
2016,SUPREME COURT,90747631.0500,898010.5900,0.9895691817070303
2016,DEPT OF HOUSING,95600454.5600,77009058.4200,80.55302537465256
2016,BOARD OF COSMETOLOGY,5019126.9000,,
2016,BOARD OF BEHAVIORAL HEALTH EXAMINERS,2150621.8100,,
2016,PARKS BOARD,30363787.4700,1271316.5400,4.186949804124683
2016,ARIZONA COMMERCE AUTHORITY,35859775.1900,,
2016,ARIZONA STATE UNIVERSITY,619217398.0000,,
2016,BOARD OF CHIROPRACTIC EXAMINERS,448257.2400,,
2017,DEPT OF CORRECTIONS,117697842.1400,6369523.2900,5.411758766506133
2017,LAND DEPARTMENT,8192644.8100,,
2017,DEPT OF FORESTRY AND FIRE MANAGEMENT,59255347.4200,28831151.7300,48.655780423740865
2017,COMMISSION FOR POSTSECONDARY EDUCATION,2493836.1100,,
2017,VETERINARY MEDICAL EXAMINING BOARD,1360077.1900,,
2017,COURT OF APPEALS DIV II,84920.3300,,
2017,BOARD OF PHYSICAL THERAPY,1050694.4400,,
2018,BOARD OF TECHNICAL REGISTRATION,2993833.4800,,
2018,GOVERNOR'S OFFICE OF HIGHWAY SAFETY,10773759.2500,8936259.6000,82.94467504459968
2018,BOARD OF REGENTS,226594578.8600,,
2019,DEPT OF ADMINISTRATION,1220087658.6200,898073.2000,0.07360726859705968
2019,BOARD OF OSTEOPATHIC EXAMINERS,1352287.2100,,
2020,ARIZONA STATE RETIREMENT SYSTEM (ASRS),94804912.0800,,
2020,DEPT OF VETERANS SERVICES,59070193.0400,12678001.7700,21.462604263735788
2020,COTTON RESEARCH AND PROTECTION COUNCIL,4039878.3000,416997.0000,10.322018858835426
2020,DEPT OF FINANCIAL INSTITUTIONS,13542066.8300,,
2020,BOARD OF RESPIRATORY CARE EXAMINERS,285801.2600,,
2020,BOARD OF MASSAGE THERAPY,477701.9400,,
2021,DEPT OF HEALTH SERVICES,764382278.8500,336799827.1200,44.06170007325517
2021,BOARD OF ACCOUNTANCY,1832802.9600,,
2021,PIONEERS' HOME,14455973.8800,,
2021,RETIREE ACCUMULATED SICK LEAVE,16889397.4100,,
2021,PARENTS COMMISSION DRUG EDU,5833306.3300,,
2021,BOARD OF FINGERPRINTING,817448.0000,,
2021,BOARD OF HOMEOPATHIC EXAMINERS,50383.2500,,
2021,PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM,13841599.3300,,
2021,COMMISSION ON THE ARTS,4869170.0100,1351700.0000,27.760377995099006
2023,DEPT OF TRANSPORTATION,5407294235.4300,937183184.5000,17.331832589381428
2023,DEPT OF GAMING,215204246.9400,,
2023,DEPT OF AGRICULTURE,43525029.5500,5502000.2200,12.641002836493193
2023,ARIZONA FINANCE AUTHORITY,565969095.0000,32619750.9300,5.763521580626236
2023,SECRETARY OF STATE (DEPT OF STATE),11007638.4900,4555254.9900,41.38267253360716
2023,BOARD OF EXAM NURSING CARE,544552.0600,,
2023,BOARD FOR PRIVATE POSTSECONDARY EDU,970076.8000,,
2024,DEPT OF WATER RESOURCES,26651120.2900,403922.6700,1.515593587079187
2024,BOARD OF NURSING,13536090.8500,,
2024,CITIZENS CLEAN ELECTION COMMISSION,6442986.2100,,
2024,ARIZONA HISTORICAL SOCIETY,1195718.2200,,
2025,REGISTRAR OF CONTRACTORS,22780258.5400,,
2025,SUPREME COURT,115505150.9200,2145846.2000,1.8577926463956869
2025,DEPT OF PUBLIC SAFETY,502913421.2900,41661170.3700,8.283964715663554
2025,DEPT OF HOUSING,217825735.1400,130950323.3900,60.11701202607497
2025,DEPT OF LIQUOR LICENSES AND CONTROL,18958772.1300,,
2025,DEPT OF EMERGENCY AND MILITARY AFFAIRS,700108009.6300,664555304.3200,94.9218256581882
2025,BOARD OF BEHAVIORAL HEALTH EXAMINERS,3212195.5200,,
2025,BOARD OF PHARMACY,6707741.3400,,
2025,BOARD OF PODIATRY EXAMINERS,247141.1600,,
2025,DEPT OF ECONOMIC SECURITY,5316771482.6400,5139544115.1800,96.66663560699058
2025,PARKS BOARD,63184963.0600,8897818.3700,14.082177054611385
2025,BOARD OF CHIROPRACTIC EXAMINERS,342844.4200,,
2025,WATER INFRASTRUCTURE FINANCE AUTHORITY OF ARIZONA,211838255.9200,47545736.7400,22.444358094581126
2025,ARIZONA STATE UNIVERSITY,13833093.5400,,
2025,ARIZONA COMMERCE AUTHORITY,-8875532.4900,,
2018,OFFICE OF TOURISM,25776938.9300,,
2018,GEOLOGICAL SURVEY,1878606.8100,,
2017,OFFICE OF PEST MANAGEMENT,-2713963.8600,,
2018,WEIGHTS AND MEASURES,-4894423.2700,,
2020,OFFICE OF EQUAL OPPORTUNITY,190200.0000,,
2016,EXPOSITION AND STATE FAIR BOARD,12257407.3500,,
2016,DEPT OF ENVIRONMENTAL QUALITY,116403149.7300,12403029.4500,10.655235256751329
2016,DEPT OF CHILD SAFETY,614874715.1800,444524993.9900,72.29521445842323
2016,MINE INSPECTOR,636914.0500,494805.2400,77.68791409139114
2016,ATTORNEY GENERAL (DEPT OF LAW),81169893.4200,3981746.0200,4.905446899378225
2016,DEPT OF EDUCATION,1992910200.6800,1131116490.3700,56.757022468149955
2016,BOARD OF DISPENSING OPTICIANS,192770.0000,,
2016,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,159278936.4000,222352.5900,0.13959949446272168
2016,CORPORATION COMMISSION,46838548.2400,1374358.0000,2.9342455128152367
2016,BOARD OF OPTOMETRY,243506.1000,,
2016,DEPT OF HOMELAND SECURITY,23460276.8800,23460276.8800,100.0
2016,BOARD OF OCCUPATIONAL EXAMINERS,333954.0000,,
2017,DEPT OF ADMINISTRATION,1127984488.5800,1601854.2500,0.14201030831696512
2017,BOARD OF OSTEOPATHIC EXAMINERS,1151000.6500,,
2018,DEPT OF HEALTH SERVICES,392262484.4500,257041701.4400,65.52798486462551
2018,BOARD OF ACCOUNTANCY,1947364.0900,,
2018,PIONEERS' HOME,10121882.7300,,
2018,BOARD OF HOMEOPATHIC EXAMINERS,77300.0000,,
2018,RETIREE ACCUMULATED SICK LEAVE,14950538.5600,,
2018,BOARD OF FINGERPRINTING,1135337.0000,,
2018,PARENTS COMMISSION DRUG EDU,4815394.4000,,
2018,PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM,12040079.8600,,
2018,COMMISSION ON THE ARTS,3869767.0000,547740.0000,14.154340558488405
2019,DEPT OF CORRECTIONS,115668535.9900,6700596.7100,5.7929294709663255
2019,LAND DEPARTMENT,-4781331.6600,,
2019,DEPT OF FORESTRY AND FIRE MANAGEMENT,70836757.3700,62183372.8700,87.7840476875572
2019,BOARD OF PHYSICAL THERAPY,1075466.4000,,
2019,VETERINARY MEDICAL EXAMINING BOARD,1486270.7400,,
2019,COURT OF APPEALS DIV II,75505.1000,,
2019,COMMISSION FOR POSTSECONDARY EDUCATION,2896828.8400,,
2020,DEPT OF WATER RESOURCES,75110297.1600,418391.2000,0.5570357405306796
2020,BOARD OF NURSING,7282096.0700,,
2020,ARIZONA HISTORICAL SOCIETY,1195471.2700,,
2020,CITIZENS CLEAN ELECTION COMMISSION,6529330.1800,,
2020,BOARD OF BARBERS,405304.9100,,
2021,BOARD OF TECHNICAL REGISTRATION,3169517.9300,,
2021,GOVERNOR'S OFFICE OF HIGHWAY SAFETY,21427560.4700,9681961.5300,45.184618862961024
2021,BOARD OF REGENTS,233899333.0100,,
2021,OFFICE OF TOURISM,27473066.2800,,
2023,INDUSTRIAL COMMISSION,42878554.2500,3467414.4600,8.086593684534035
2023,BARBERING AND COSMETOLOGY BOARD,3008821.2100,,
2023,BOARD OF PSYCHOLOGIST EXAMINERS,919867.3800,,
2023,BOARD OF OCCUPATIONAL THERAPY EXAMINERS,345746.7700,,
2023,BOARD OF ATHLETIC TRAINING,180138.7100,,
2023,CONSTABLE ETHICS STANDARDS AND TRAINING BOARD,401777.5400,,
2024,ARIZONA STATE RETIREMENT SYSTEM (ASRS),85466181.7300,,
2024,BOARD OF MASSAGE THERAPY,603358.8700,,
2024,DEPT OF VETERANS SERVICES,48165137.1000,5727956.2100,11.892328258316116
2024,COTTON RESEARCH AND PROTECTION COUNCIL,4008654.9100,497062.9400,12.399743833274988
2024,BOARD OF RESPIRATORY CARE EXAMINERS,380436.4200,,
2025,CORPORATION COMMISSION,86891011.1600,1954795.2800,2.2497094393348296
2025,DEPT OF ENVIRONMENTAL QUALITY,163169129.9600,24029521.0000,14.726756835616333
2025,ATTORNEY GENERAL (DEPT OF LAW),191387228.3700,6232937.2100,3.2567153320963262
2025,DEPT OF EDUCATION,3884315102.7700,2158670278.8400,55.57402583792956
2025,DEPT OF CHILD SAFETY,715445345.9300,519118595.0200,72.55880522155094
2025,BOARD OF OPTOMETRY,346255.5300,,
2025,EXPOSITION AND STATE FAIR BOARD,12783421.3000,-1011.3600,-0.0079114970575209
2025,BOARD OF DISPENSING OPTICIANS,171927.9800,,
2025,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,113761590.4100,4694017.0000,4.1261879190354405
2025,MINE INSPECTOR,541532.1100,350020.6000,64.63524388239878
2025,PERSONNEL BOARD,684042.4000,,
2025,DEPT OF HOMELAND SECURITY,48361403.6400,33684008.1600,69.65060073678208
2017,NAVIGABLE STREAM ADJUDICATION COMMISSION,200000.0000,,
2016,PERSONNEL BOARD,487763.1600,,
2023,RESIDENTIAL UTILITY CONSUMER OFFICE,1454133.5800,,
2024,OFFICE OF EQUAL OPPORTUNITY,310500.0000,,
2016,CRIMINAL JUSTICE COMMISSION,19307968.3800,6790928.7400,35.17163798048441
2016,COMMISSION FOR DEAF AND HARD OF HEARING,3623383.2200,,
2016,WATER INFRASTRUCTURE FINANCE AUTHORITY,362613626.3400,28483706.6900,7.8551120589419385
2017,GOVERNOR'S OFFICE,25445800.0900,10730130.2400,42.16857085274696
2017,REAL ESTATE DEPARTMENT,4182693.2400,,
2017,COURT OF APPEALS,149226.0700,,
2017,BOARD OF FUNERAL DIRECTORS AND EMBALMERS,485588.1000,,
2018,INDUSTRIAL COMMISSION,48707114.9900,2840398.1700,5.831587788730986
2018,BOARD OF PSYCHOLOGIST EXAMINERS,673470.7500,,
2018,CONSTABLE ETHICS STANDARDS AND TRAINING BOARD,314546.3200,,
2018,BOARD OF ATHLETIC TRAINING,167161.0000,,
2019,AHCCCS,12043874149.6400,10384148448.6600,86.21933706414883
2019,GAME AND FISH DEPARTMENT,141677851.1500,33207160.8800,23.43849840356645
2019,LOTTERY COMMISSION,537650772.2400,,
2019,NATUROPATHIC PHYSICIANS MEDICAL BOARD,406802.9400,,
2019,NORTHERN ARIZONA UNIVERSITY,4830229.3100,,
2019,SCHOOL FACILITIES BOARD,364259965.4900,,
2019,OFFICE OF ADMINISTRATIVE HEARINGS,738155.6900,,
2019,LEGISLATIVE COUNCIL,1364.8000,,
2020,DEPT OF REVENUE,9884588730.9800,,
2020,AUTOMOBILE THEFT AUTHORITY,6845983.0600,,
2020,MEDICAL BOARD,8752153.7000,,
2021,DEPT OF TRANSPORTATION,3954731872.8700,766014574.9200,19.36957041702282
2021,BOARD OF EXAM NURSING CARE,607949.1400,,
2021,ARIZONA FINANCE AUTHORITY,233569336.5100,30516823.1000,13.065423550874993
2021,DEPT OF AGRICULTURE,28083177.4600,4177019.5700,14.87374274492086
2021,SECRETARY OF STATE (DEPT OF STATE),1519899.1200,-3245753.6500,-213.55059735806674
2021,DEPT OF GAMING,102553203.8100,,
2021,BOARD FOR PRIVATE POSTSECONDARY EDU,712081.9700,,
2023,DEPT OF HEALTH SERVICES,666596538.2100,460316791.5300,69.0547827875135
2020,OFFICE OF ECONOMIC OPPORTUNITY,12273937.7000,1929823.1300,15.722934050740701
2023,BOARD OF HOMEOPATHIC EXAMINERS,50827.2700,,
2023,BOARD OF ACCOUNTANCY,1885637.4500,,
2023,PIONEERS' HOME,13296799.2700,,
2023,RETIREE ACCUMULATED SICK LEAVE,19508643.6500,,
2023,PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM,17663067.0900,,
2023,PARENTS COMMISSION DRUG EDU,5283191.8200,,
2023,COMMISSION ON THE ARTS,7581922.3200,1008332.0000,13.299160258344614
2024,STATE TREASURER,1189853073.0300,0.0000,0.0
2025,CRIMINAL JUSTICE COMMISSION,33689068.0700,17563110.7900,52.13296714977963
2025,COMMISSION FOR DEAF AND HARD OF HEARING,2452916.3600,,
2025,AUDITOR GENERAL,1386759.0000,,
2025,COMPANION ANIMAL SPAY/NEUTER COMMITTEE,353243.9500,,
2018,RESIDENTIAL UTILITY CONSUMER OFFICE,1141377.8900,,
2023,BOARD OF FINGERPRINTING,802832.0000,,
2024,UNIVERSITY OF ARIZONA,14225041.4100,,
2016,AUDITOR GENERAL,1741494.1400,,
2017,JOINT LEGISATIVE BUDGET COMMITTEE,0.0000,,
2025,BOARD OF MEDICAL STUDENT LOANS,4798.8600,,
2016,AFRICAN-AMERICAN AFFAIRS,6026.3100,,
2020,BOARD OF EQUALIZATION,1509.2100,,
2016,DEPT OF HEALTH SERVICES,2535407953.4500,2292821431.9000,90.43205172485534
2016,BOARD OF ACCOUNTANCY,2043625.4800,,
2016,PIONEERS' HOME,9557875.7700,,
2016,PARENTS COMMISSION DRUG EDU,4377551.0900,,
2016,RETIREE ACCUMULATED SICK LEAVE,13991308.4700,,
2016,PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM,10763497.4200,,
2017,MEDICAL BOARD,7474063.2800,,
2017,DEPT OF REVENUE,8475587821.3700,,
2017,AUTOMOBILE THEFT AUTHORITY,3256849.3400,,
2017,OFFICE OF ECONOMIC OPPORTUNITY,3767647.1500,1882151.3300,49.9556156685214
2018,DEPT OF CHILD SAFETY,581886303.6000,478635794.2500,82.25589626165588
2018,CORPORATION COMMISSION,48499249.4400,1170866.0000,2.414194061804021
2018,DEPT OF ENVIRONMENTAL QUALITY,132015481.9800,15172246.0100,11.492777803362907
2018,ATTORNEY GENERAL (DEPT OF LAW),128068640.3200,4583299.9000,3.578783915053593
2018,DEPT OF EDUCATION,2128819993.5800,1118964765.1100,52.56267643504495
2018,BOARD OF OPTOMETRY,288905.3000,,
2018,DEPT OF HOMELAND SECURITY,19363495.1300,19363495.1300,100.0
2018,BOARD OF DISPENSING OPTICIANS,187320.0000,,
2018,MINE INSPECTOR,427647.4300,337436.9800,78.90541514536869
2018,BOARD OF OCCUPATIONAL EXAMINERS,286103.0000,,
2018,EXPOSITION AND STATE FAIR BOARD,13684198.2200,,
2018,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,135549705.3600,,
2018,PERSONNEL BOARD,493574.3100,,
2019,STATE TREASURER,467325832.5800,0.0000,0.0
2019,UNIVERSITY OF ARIZONA,13286637.4300,,
2020,BOARD OF FUNERAL DIRECTORS AND EMBALMERS,404295.4000,,
2020,GOVERNOR'S OFFICE,1949845187.6800,1868234356.1500,95.81449686130703
2020,COURT OF APPEALS,187602.4500,,
2020,REAL ESTATE DEPARTMENT,3952282.8700,,
2021,DEPT OF ECONOMIC SECURITY,3848681293.2500,3534209849.0400,91.82911183730555
2021,DEPT OF EMERGENCY AND MILITARY AFFAIRS,131752025.0500,59925407.7200,45.48348133340513
2021,DEPT OF PUBLIC SAFETY,652120058.8800,57338945.1600,8.7926976603784
2021,SUPREME COURT,101228232.8200,747495.0100,0.738425426559768
2021,DEPT OF HOUSING,140901852.1800,110752440.7100,78.60254425081327
2021,DEPT OF LIQUOR LICENSES AND CONTROL,10268288.7000,,
2021,REGISTRAR OF CONTRACTORS,15912100.8000,,
2021,BOARD OF BEHAVIORAL HEALTH EXAMINERS,2463514.3800,,
2021,PARKS BOARD,41310018.3300,2176414.8800,5.26849168309241
2021,BOARD OF COSMETOLOGY,1743469.5700,,
2021,BOARD OF CHIROPRACTIC EXAMINERS,546023.2700,,
2021,BOARD OF PODIATRY EXAMINERS,181967.9200,,
2021,BOARD OF PHARMACY,6841834.8700,59341.4100,0.8673318068549059
2021,ARIZONA COMMERCE AUTHORITY,21358207.8100,,
2023,CRIMINAL JUSTICE COMMISSION,16867299.4400,6295434.2000,37.32330846674054
2023,COMMISSION FOR DEAF AND HARD OF HEARING,3005190.1900,,
2023,COMPANION ANIMAL SPAY/NEUTER COMMITTEE,464842.8400,,
2024,GAME AND FISH DEPARTMENT,154764287.3300,45021478.2100,29.09035345732044
2024,AHCCCS,19026516273.0600,15903581889.6700,83.58640994194076
2024,OFFICE OF ADMINISTRATIVE HEARINGS,1009659.3400,,
2024,LOTTERY COMMISSION,747453188.5500,,
2024,LEGISLATIVE COUNCIL,108256.0500,,
2024,NATUROPATHIC PHYSICIANS MEDICAL BOARD,381306.1800,,
2024,NORTHERN ARIZONA UNIVERSITY,4987863.4200,,
2025,DEPT OF HEALTH SERVICES,598341296.3600,412832339.1700,68.99613008185447
2025,BOARD OF ACCOUNTANCY,1999313.8200,,
2025,PIONEERS' HOME,14573785.2600,,
2025,PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM,19837242.6000,,
2025,RETIREE ACCUMULATED SICK LEAVE,21679532.6000,,
2025,BOARD OF HOMEOPATHIC EXAMINERS,64869.4200,,
2025,BOARD OF FINGERPRINTING,863160.0000,,
2025,COMMISSION ON THE ARTS,4645919.3300,1154296.0000,24.845373283741456
2016,BOARD OF HOMEOPATHIC EXAMINERS,85050.0000,,
2016,COMMISSION ON THE ARTS,2438496.1300,797900.0000,32.72098693058004
2016,BOARD OF FINGERPRINTING,878878.0000,,
2020,DEPT OF INSURANCE AND FINANCIAL INSTITUTIONS,73469296.0400,,
2023,AUDITOR GENERAL,1781410.0000,,
2025,PARENTS COMMISSION DRUG EDU,4629900.8100,,
2021,ARIZONA STATE UNIVERSITY,58945094.3500,,
2023,AFRICAN-AMERICAN AFFAIRS,5000.0000,,
2017,BOARD OF EQUALIZATION,8610.3600,,
