fiscal_year,agency,top_vendor,top_vendor_pct,agency_total
2017,DEPT OF HEALTH SERVICES,NAME REDACTED,32.9,331297531.3800
2018,DEPT OF ADMINISTRATION,UNITED HEALTHCARE,32.1,1198185687.6000
2021,DEPT OF CORRECTIONS,CENTURION OF ARIZONA LLC,30.9,643986112.5300
2023,GOVERNOR'S OFFICE,CHANDLER UNIFIED SCHOOL DISTRICT 80,4.2,325643398.7900
2018,DEPT OF ECONOMIC SECURITY,NAME REDACTED,8.3,1931155930.4600
2018,DEPT OF PUBLIC SAFETY,CDW GOVERNMENT INC,5.8,107797677.9700
2018,SUPREME COURT,PIMA COUNTY,15.3,104791315.2500
2021,DEPT OF CHILD SAFETY,NAME REDACTED,47.8,751436405.5500
2021,DEPT OF EDUCATION,MARICOPA COUNTY,35.2,1260252760.4700
2018,DEPT OF HOUSING,NAME REDACTED,2.2,87998371.1200
2021,DEPT OF ENVIRONMENTAL QUALITY,GORDON-DARBY ARIZONA TESTING INC,24.9,101352695.9800
2024,GOVERNOR'S OFFICE,UNIVERSITY OF ARIZONA,10.1,293641163.6800
2021,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,VALLEY OF THE SUN-UNITED WAY,46.4,127466096.2800
2025,BOARD OF REGENTS,ARIZONA STATE UNIVERSITY,30.4,344190565.1900
2016,BOARD OF REGENTS,ARIZONA STATE UNIVERSITY,15.9,176572702.0400
2017,UNIVERSITY OF ARIZONA,UNIVERSITY OF ARIZONA (FINANCIAL SERVICES OFFICE),100.0,708475110.2600
2016,DEPT OF CORRECTIONS,CORIZON INC,32.1,472995892.9500
2017,DEPT OF ECONOMIC SECURITY,NAME REDACTED,5.9,1782188138.6700
2017,SUPREME COURT,PIMA COUNTY,14.6,104550046.3900
2017,DEPT OF PUBLIC SAFETY,MOTOROLA SOLUTIONS INC,6.9,107243097.1800
2017,DEPT OF HOUSING,ZIONS FIRST NATIONAL BANK,2.2,92022711.9200
2025,DEPT OF CORRECTIONS,NAPHCARE INC,41.3,1000338101.7700
2025,DEPT OF FORESTRY AND FIRE MANAGEMENT,CITY OF FLAGSTAFF,10.0,104194558.9800
2018,UNIVERSITY OF ARIZONA,UNIVERSITY OF ARIZONA (FINANCIAL SERVICES OFFICE),100.0,715811357.9500
2016,DEPT OF HEALTH SERVICES,MERCY MARICOPA INTEGRATED CARE,48.2,2503577591.3400
2018,DEPT OF ENVIRONMENTAL QUALITY,GORDON-DARBY ARIZONA TESTING INC,39.0,58715354.8400
2018,DEPT OF EDUCATION,MARICOPA COUNTY,37.5,900040482.3600
2021,DEPT OF ECONOMIC SECURITY,FIDELITY NATIONAL INFORMATION SERVICES,9.7,2985308601.6200
2021,DEPT OF HOUSING,SPRINGBOARD SOLUTIONS LLC,6.3,120483063.0900
2021,DEPT OF EMERGENCY AND MILITARY AFFAIRS,DIGNITY HEALTH,3.8,56236452.8200
2021,SUPREME COURT,PIMA COUNTY,15.4,109256582.7500
2018,DEPT OF CHILD SAFETY,NAME REDACTED,87.9,660431274.9600
2018,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,VALLEY OF THE SUN - UNITED WAY,44.2,128353508.6700
2021,DEPT OF PUBLIC SAFETY,MOTOROLA SOLUTIONS INC,9.1,136788035.6800
2024,AHCCCS,MERCY CARE,17.1,24568709422.6000
2024,GAME AND FISH DEPARTMENT,SAN TAN AUTO PARTNERS LLC,5.2,59222981.6800
2024,LOTTERY COMMISSION,BANK OF AMERICA - AZ,76.7,308039547.7700
2025,DEPT OF HEALTH SERVICES,NAME REDACTED,28.3,538483960.8800
2021,AHCCCS,MERCY CARE,17.9,18780851874.5300
2021,LOTTERY COMMISSION,BANK OF AMERICA - AZ,69.7,229129630.6700
2023,DEPT OF ADMINISTRATION,BLUE CROSS BLUE SHIELD OF AZ INC,21.2,1622520421.0700
2024,DEPT OF ECONOMIC SECURITY,NAME REDACTED,12.3,4413108678.7500
2024,DEPT OF HOUSING,NAME REDACTED,4.8,289589886.6000
2024,DEPT OF PUBLIC SAFETY,MOTOROLA SOLUTIONS INC,6.5,206467558.2700
2024,SUPREME COURT,PIMA COUNTY,15.7,128866742.2500
2024,DEPT OF EMERGENCY AND MILITARY AFFAIRS,ASPEN MEDICAL INTERNATIONAL LLC,8.2,92006319.2100
2024,WATER INFRASTRUCTURE FINANCE AUTHORITY OF ARIZONA,TOWN OF GILBERT,15.3,182546611.0400
2021,SCHOOL FACILITIES BOARD,MARICOPA COUNTY,31.8,228291980.5100
2021,DEPT OF TRANSPORTATION,US BANK,20.9,1503660393.6600
2023,DEPT OF HEALTH SERVICES,NAME REDACTED,20.5,582667199.2000
2016,WATER INFRASTRUCTURE FINANCE AUTHORITY,U S BANK NATIONAL ASSOCIATION,64.0,223830569.2500
2024,STATE TREASURER,COUNTY OF MOHAVE,12.5,83499753.8300
2021,ARIZONA FINANCE AUTHORITY,U S BANK NATIONAL ASSOCIATION,43.0,216297933.1900
2016,DEPT OF ECONOMIC SECURITY,NAME REDACTED,9.9,1668380642.6800
2016,SUPREME COURT,PIMA COUNTY,14.6,101083679.1500
2016,DEPT OF HOUSING,ZIONS FIRST NATIONAL BANK,5.6,82786391.1500
2016,DEPT OF PUBLIC SAFETY,FEDERAL BUREAU OF INVESTIGATION,4.7,80667019.7200
2017,DEPT OF CORRECTIONS,CORIZON INC,31.5,493648460.1400
2021,DEPT OF HEALTH SERVICES,NAME REDACTED,13.2,681042525.6600
2023,DEPT OF TRANSPORTATION,U S BANK NATIONAL ASSN,15.3,2024376473.6100
2025,DEPT OF ECONOMIC SECURITY,NAME REDACTED,9.4,4858556791.5300
2025,DEPT OF EMERGENCY AND MILITARY AFFAIRS,BANNER HEALTH,71.1,710552770.5900
2025,DEPT OF PUBLIC SAFETY,MOTOROLA SOLUTIONS INC,6.1,216849290.7700
2025,SUPREME COURT,PIMA COUNTY,15.9,138421518.4200
2025,WATER INFRASTRUCTURE FINANCE AUTHORITY OF ARIZONA,CITY OF SURPRISE,11.6,129675402.8600
2025,DEPT OF HOUSING,NAME REDACTED,5.2,246768044.2100
2023,ARIZONA FINANCE AUTHORITY,US BANK,41.0,120335109.6200
2018,BOARD OF REGENTS,UNIVERSITY OF ARIZONA,19.4,232351195.0200
2016,DEPT OF ADMINISTRATION,UNITED HEALTHCARE,31.6,1109559505.4400
2017,DEPT OF EDUCATION,MARICOPA COUNTY,37.9,892844727.8700
2017,DEPT OF ENVIRONMENTAL QUALITY,GORDON-DARBY ARIZONA TESTING INC,29.7,73507322.3200
2017,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,VALLEY OF THE SUN UNITED WAY,43.1,125606067.9000
2024,DEPT OF TRANSPORTATION,U S BANK NATIONAL ASSN,21.4,2854018202.4000
2025,DEPT OF ADMINISTRATION,BLUE CROSS BLUE SHIELD OF AZ INC,23.0,1984164730.3000
2017,DEPT OF CHILD SAFETY,NAME REDACTED,89.6,668208479.6600
2021,UNIVERSITY OF ARIZONA,UNIVERSITY OF ARIZONA (FINANCIAL SERVICES OFFICE),100.0,332119354.0300
2021,DEPT OF VETERANS SERVICES,THE WEITZ CO,59.2,55844137.0000
2025,GOVERNOR'S OFFICE,ARIZONA COMMERCE AUTHORITY,27.9,253032996.1500
2024,BOARD OF REGENTS,ARIZONA STATE UNIVERSITY,33.3,391420011.4400
2016,AHCCCS,"ARIZONA PHYSICIANS IPA, INC.",12.4,12177059851.9500
2024,DEPT OF HEALTH SERVICES,NAME REDACTED,22.8,584228443.4900
2025,AHCCCS,MERCY CARE,17.3,25719171023.9000
2025,LOTTERY COMMISSION,BANK OF AMERICA - AZ,77.0,294539702.8100
2025,GAME AND FISH DEPARTMENT,OFF MADISON AVE,5.1,54899588.9500
2016,SCHOOL FACILITIES BOARD,BANK OF NEW YORK MELLON TRUST COMPANY NA,59.2,290085138.8200
2016,LOTTERY COMMISSION,BANK OF AMERICA - AZ,78.1,164143086.9700
2017,STATEWIDE SYSTEMS PROCESSING,U S BANK NATIONAL ASSOCIATION,99.8,167518511.8000
2017,DEPT OF TRANSPORTATION,U S BANK NATIONAL ASSOCIATION,16.7,1571535411.3500
2017,ARIZONA FINANCE AUTHORITY,U S BANK NATIONAL ASSOCIATION,80.0,96262591.1800
2018,AHCCCS,"ARIZONA PHYSICIANS IPA\, INC.",14.1,14019212403.3900
2018,LOTTERY COMMISSION,BANK OF AMERICA - AZ,74.4,176929269.7900
2021,GOVERNOR'S OFFICE,CITY OF CHANDLER,4.5,670619494.1800
2023,DEPT OF CORRECTIONS,NAPHCARE INC,24.5,892788441.9500
2023,DEPT OF FORESTRY AND FIRE MANAGEMENT,COCONINO COUNTY,11.0,71302604.9000
2024,DEPT OF CHILD SAFETY,MERCY CARE,13.3,913034664.2000
2024,DEPT OF ENVIRONMENTAL QUALITY,GORDON-DARBY ARIZONA TESTING INC,24.3,98850727.0300
2024,DEPT OF EDUCATION,MARICOPA COUNTY,31.1,2890136123.9700
2024,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,VALLEY OF THE SUN-UNITED WAY,43.4,218863814.2400
2018,SCHOOL FACILITIES BOARD,BANK OF NEW YORK MELLON TRUST COMPANY NA,47.1,359163717.2600
2017,AHCCCS,"ARIZONA PHYSICIANS IPA, INC.",13.6,13091420741.6100
2017,SCHOOL FACILITIES BOARD,BANK OF NEW YORK MELLON TRUST COMPANY NA,56.6,300483526.4800
2018,DEPT OF TRANSPORTATION,U S BANK NATIONAL ASSOCIATION,16.6,1608477394.3000
2017,LOTTERY COMMISSION,BANK OF AMERICA - AZ,77.7,181954844.2000
2018,ARIZONA FINANCE AUTHORITY,U S BANK NATIONAL ASSOCIATION,85.9,234998055.9400
2023,BOARD OF REGENTS,UNIVERSITY OF ARIZONA,38.0,289202394.5100
2016,STATEWIDE SYSTEMS PROCESSING,U S BANK NATIONAL ASSOCIATION,99.9,155219449.7300
2018,DEPT OF CORRECTIONS,CORIZON INC,32.3,491773199.8400
2021,DEPT OF ADMINISTRATION,RBC CAPITAL MARKETS CORP,44.7,2172020820.1100
2023,GAME AND FISH DEPARTMENT,OFF MADISON AVE,5.9,52228878.9500
2023,AHCCCS,MERCY CARE,15.9,25521514530.3100
2023,LOTTERY COMMISSION,BANK OF AMERICA - AZ,77.2,295823015.4200
2017,BOARD OF REGENTS,ARIZONA STATE UNIVERSITY,19.7,224612059.5800
2016,UNIVERSITY OF ARIZONA,THE UNIVERSITY OF ARIZONA,39.6,841035419.8600
2016,DEPT OF TRANSPORTATION,U S BANK NATIONAL ASSOCIATION,18.6,1584948191.1900
2023,SUPREME COURT,PIMA COUNTY,15.6,128163955.0600
2023,DEPT OF HOUSING,FLAGSTAFF SHELTER SERVICES INC,3.2,284951984.1500
2023,DEPT OF ECONOMIC SECURITY,NAME REDACTED,15.3,4274221135.8900
2023,DEPT OF EMERGENCY AND MILITARY AFFAIRS,ASHBRITT INC,70.9,274834309.1000
2023,DEPT OF PUBLIC SAFETY,FIDELITY NATIONAL TITLE,4.0,205136499.4600
2024,DEPT OF ADMINISTRATION,BLUE CROSS BLUE SHIELD OF AZ INC,21.1,1916165423.9000
2025,DEPT OF TRANSPORTATION,U S BANK NATIONAL ASSN,13.2,2261843904.6500
2018,STATEWIDE SYSTEMS PROCESSING,U S BANK NATIONAL ASSOCIATION,99.8,176051245.7600
2023,DEPT OF CHILD SAFETY,MERCY CARE,18.5,949688227.0400
2023,DEPT OF EDUCATION,MARICOPA COUNTY,33.0,2616218909.1300
2023,DEPT OF ENVIRONMENTAL QUALITY,GORDON-DARBY ARIZONA TESTING INC,30.1,89185672.2900
2024,DEPT OF CORRECTIONS,NAPHCARE INC,39.8,964566054.9200
2024,DEPT OF FORESTRY AND FIRE MANAGEMENT,CITY OF FLAGSTAFF,8.2,74194605.4800
2023,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,VALLEY OF THE SUN-UNITED WAY,47.0,189229162.6400
2021,STATEWIDE SYSTEMS PROCESSING,U S BANK NATIONAL ASSOCIATION,99.3,137674491.5800
2016,DEPT OF EDUCATION,MARICOPA COUNTY,38.7,866200404.3600
2016,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,VALLEY OF THE SUN UNITED WAY,43.2,119476384.1300
2016,DEPT OF CHILD SAFETY,NAME REDACTED,89.1,669686955.3500
2017,DEPT OF ADMINISTRATION,UNITED HEALTHCARE,32.6,1149398851.7500
2018,DEPT OF HEALTH SERVICES,"CUSTOM DATA PROCESSING\,. INC",18.5,327786596.7800
2025,DEPT OF CHILD SAFETY,MERCY CARE,17.0,888553380.9900
2025,DEPT OF EDUCATION,MARICOPA COUNTY,31.9,3100447413.3300
2016,DEPT OF ENVIRONMENTAL QUALITY,GORDON-DARBY ARIZONA TESTING INC,35.1,62682879.1100
2025,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,VALLEY OF THE SUN-UNITED WAY,42.3,134845794.8000
2025,DEPT OF ENVIRONMENTAL QUALITY,GORDON-DARBY ARIZONA TESTING INC,29.9,87222109.5000
2021,BOARD OF REGENTS,ARIZONA STATE UNIVERSITY,32.3,236146596.8700
